repository	path	blob_sha	depth	scope	line_ranges	execution_evidence
meta	.github/CODEOWNERS	fb196173cfaf4a9025bdde9a94b81cd6955e545c	SCOPED_SEMANTIC_REVIEW	Ownership routing declarations only; repository enforcement and current review state are excluded.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	.github/PULL_REQUEST_TEMPLATE.md	67c0ad495996dc5a395c20e6b3da04834a2534b5	SCOPED_SEMANTIC_REVIEW	Pull-request evidence prompts and lifecycle fields only; completion is not established.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	CONTRIBUTING.md	25a8155ca03dae4f899ee478fcca2db4bbef0bb0	SCOPED_SEMANTIC_REVIEW	Contributor workflow, test, review, and Merge Queue declarations only.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	README.md	db2a360d430a85a1c3ba6f1979393860b468af6e	SCOPED_SEMANTIC_REVIEW	META repository purpose, authority boundaries, topology references, and validation commands only.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	SECURITY.md	cd792844feb00ec52df0c4fe277868b7570f764d	SCOPED_SEMANTIC_REVIEW	Security reporting and disclosure process declarations only; no live security state is inferred.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	docs/agents/BRANCH_LIFECYCLE_POLICY.json	e20c51e4c3735dcaa13263a931c10f57877e8e49	SCOPED_SEMANTIC_REVIEW	Machine-readable terminal branch lifecycle rules and required evidence fields only.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	docs/agents/contracts/BOUNDED_AUTONOMOUS_EXECUTION_POLICY.md	90aaec728d0bf3f3e7e3a18b44cd61c063ba0085	SCOPED_SEMANTIC_REVIEW	Bounded execution, retry, freeze, escalation, and evidence semantics only.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	docs/agents/contracts/SYNOLOGY_MCP_EXECUTION_POLICY.md	9d2aace04a01b18f05924845c41ff9dfb7e67293	SCOPED_SEMANTIC_REVIEW	Default-deny Synology execution authorization and exact-call gating only; no host access is proven.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	docs/agents/prompts/OTERYN-ORGANIZATION-MERGE-QUEUE-ANTI-LOOP-ROLLOUT.md	9b552a8e6c6dcb4a51d361e79fd2507de36d29f3	SCOPED_SEMANTIC_REVIEW	RETIRED provenance-only rollout prompt; never dispatchable current authority.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
meta	docs/agents/prompts/OTERYN-SOLO-MAINTAINER-GOVERNANCE-V2-ROLLOUT.md	82de8fef1da3ee4ba8981b4154f90ee87e2f2c13	SCOPED_SEMANTIC_REVIEW	RETIRED provenance-only rollout prompt; never dispatchable current authority.	[]	Immutable reviewed candidate r3-meta-r4-direct-candidate.json (SHA-256 aeb3eaf325aef8c989209d1c9104c8d7a890b25eef2b3bb1ea014ffd079aab39); fresh full-file direct read at META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785. Live main 3b39e0be05aef008f1bd442821daefa898a201dd retained the identical blob on 2026-09-10; this is source identity only, not live admin/runtime/provider proof.
