domain	name	acceptance_criterion	method_and_evidence	opinion	remaining_limit	references
A	Purpose/product	Repository responsibilities and phase declarations are consistent with shipped scope.	Root authority/readme and current Game/Atlas programme state	QUALIFIED	Real native G1 and actual Atlas UI acceptance remain open.	GAME-F04;GAME-F17;UI-343
B	Architecture	One provider owns each runtime/schema boundary; decisions agree with implementation.	META/provider authority and Game PREPARE source versus accepted contract	FAIL_IN_SCOPED_PATH	Full architecture dependency graph and all current consumers not independently requalified.	GAME-F20
C	Implementation	Material implementation invariants survive boundary/error paths.	Focused source deltas, exact identity reconciliation and 8 real-Git routing cases	FAIL_IN_SCOPED_PATH	No blanket all-line runtime review; per-path ledger preserves unverified semantics.	GAME-F20;PLATFORM-F02;PLATFORM-F16
D	Interfaces/contracts	Serialized identity and cross-provider evidence have one versioned authority.	Atlas cross-language vectors; META release validator; provider ownership	QUALIFIED	META has no actual release manifest and provider evidence is not authenticated by structural validation.	ATLAS-F01;META-AUD-02
E	Data/persistence	Security state, effect delivery and recovery evidence are atomic and replay safe.	50 migration up/down sources read and50 up executions on synthetic SQLite; separate MariaDB ticket/profile concurrency4/4; security characterization mechanism treated as disclosed from public history/artifacts and not repeated here	QUALIFIED_WITH_OPEN_RISKS	No down/data-preservation/production restore proof, full cross-provider exactly-once proof or security-maintainer closure.	PLATFORM-F02;GAME-F20;PLATFORM-H02;RECOVERY
F	Dependencies/supply chain	Dependency update scope, lockfiles, provenance and advisory results are explicit.	Locked Platform Composer audit at recorded execution:0 advisories/0 abandoned; exact lock/toolchain plus SHA-pinned acquisition	QUALIFIED_WITH_OPEN_RISKS	Not a fresh all-ecosystem CVE/SBOM/provenance/history clearance.	SUPPLY-CHAIN;r3-native-manifest.json
G	Security/privacy	Current credentials, authorization and private-data boundaries fail closed.	Nine identity/session component sources read; controlled characterization exists, while its mechanism is treated as disclosed through public ancestor commits/Actions artifacts and current audit text avoids republishing details	QUALIFIED_WITH_OPEN_RISKS	Security maintainer disposition still needed; no confidentiality-restoration, live HTTP/production or exhaustive threat-model acceptance.	PLATFORM-H02;PLATFORM-F02;GAME-F20
H	Reliability/failure handling	Failures remain bounded, preserve valid state and terminate correctly.	33 Atlas focused regressions and Gateway shutdown/timeouts source	FAIL_IN_SCOPED_PATH	Injected fixture failures are not current production resilience or chaos evidence.	ATLAS-F02;ATLAS-F04;ATLAS-F07;ATLAS-F12;PLATFORM-F03;PLATFORM-F11
I	Performance/cost	Latency, cost and capacity changes are demonstrated against a baseline.	84 completed runs/418 jobs/seven strata; per-stratum durations and16 explicit anomalies reproduced from raw metadata	PARTIALLY_MEASURED	Not representative full candidate yield, random sample, pure queue, billing, cache, flake/retry rate or agent token cost.	COST-CI;COST-AGENTS;r3-native-results.json
J	Tests	Tests reach intended behavior and detect representative violations.	618 PHP identities covered across614 main-profile executions plus4 separate concurrency cases; Gateway56 top-level/59 subtests;48 public UI cases; routing counterexamples retained	QUALIFIED_WITH_OPEN_RISKS	Not one full all-green integration/native/OS run. Existing green routing tests miss reproduced cases.	PLATFORM-F16;PLATFORM-F17;GAME-F17;r3-native-results.json
K	Build	Build inputs, toolchain, dependency identity and artifact outputs are reproducible.	Source-declared PHP8.5 locked install and Gateway race tests/vet/build on hosted Linux; exact source/toolchain artifact binding	QUALIFIED	No full Game native/build/Windows/GPU matrix or deployed artifact qualification.	PLATFORM-F04;PLATFORM-F13;PLATFORM-F14;PORTABILITY
L	CI/verification	One required aggregate proves all selected profiles for exact PR/MQ candidate.	All77 workflow control-field declarations read with exact ranges;8 real-Git routing cases;8 static Announcements trigger probes; seven native timing strata; exact Atlas f008 gameplay impact-routing qualification test fails because the dedicated profile-runtime impact rule is absent	FAIL_IN_SCOPED_PATH	Control fields are not all step bodies, every matrix permutation or actual admin protection enforcement.	PLATFORM-F01;PLATFORM-F16;PLATFORM-F17;GAME-F01;ATLAS-F17
M	Release/deploy	Published and deployed artifact identity is bound to accepted candidate and recovery proof.	Synology workflow dependency review; historical release recovery record	QUALIFIED_WITH_OPEN_RISKS	No current release deployment, rollback or actual environment approval readback.	PLATFORM-F13;RECOVERY-003;RECOVERY-006
N	Configuration/infrastructure	Actual infrastructure and privileged configuration match approved source.	Available GitHub source and historical recovery records only	NOT_FULLY_VERIFIED	No host access, environment-secret values, current admin-only org state or runtime configuration inventory.	ADMIN-STATE;INFRA-STATE
O	Operations/observability	Critical journeys have observable failure/restore evidence and accountable recovery.	Issue59 gap register and archived transfer evidence	QUALIFIED_WITH_OPEN_RISKS	Live telemetry, SLOs, incident response and alert delivery were not exercised.	RECOVERY-001;RECOVERY-002;RECOVERY-004;RECOVERY-005;RECOVERY-006
P	Documentation	Instructions describe actual setup, current authority and honest capability.	Current README/bootstrap and historical audit lineage compared	FAIL_IN_SCOPED_PATH	Not every documentation link or operative-looking open PR independently reconciled.	PLATFORM-F09;META-AUD-05;META-PR145-01
Q	Instructions/skills/prompts	One rule has one authority, loaded selectively without broadening permission.	v3 policy/routing, provider bindings and R5Q limitations	QUALIFIED	Binding/configuration is not actual instruction delivery or measured efficiency.	META-AUD-04;META-AUD-05;PLATFORM-F07;COST-AGENTS
R	Developer/agent ergonomics	Clean setup, recovery and selective execution are usable in actual supported clients.	Local Python/Node tests, platform setup inspection and routing validation	QUALIFIED	No full clean developer installation or actual client delivery benchmark.	PLATFORM-F09;META-AUD-07;COST-AGENTS
S	Repository governance	Protected exact-candidate integration is not replaced by candidate-controlled assertions.	Read-only authority preflight, current source gate and WP1 recorded protected closeout	QUALIFIED	No complete live admin settings attestation; audit run and meta-gate cannot certify report truth.	META-AUD-08;META-AUD-09;GAME-F16;ADMIN-STATE
T	Current work/drift	Source, candidate, historical closure and active ownership are kept distinct.	77 finding records; fresh native Game361 and Platform1270/1304/Atlas376 lifecycle readback; frozen source cut separated from later observations	QUALIFIED	Most provider source/consumer deltas and historical ambiguous outcomes still require scoped requalification.	r3-lifecycle.json;HISTORY-REVALIDATION
U	Portability	Supported runtime/OS combinations satisfy their actual required contracts.	Hosted Linux PHP8.5/Go and prior Python/Node observations with immutable source identities	PARTIALLY_VERIFIED	Complete supported Windows/GPU/native/runtime matrix is not supplied.	PORTABILITY;r3-native-results.json
V	Product/UI	Actual core user journeys meet functional, responsive, visual and accessibility criteria.	Platform anonymous English fixture12 routes×4 viewports;40 HTTP200+8 intentional unpublished404; no-JS login;8 author-inspected images	QUALIFIED_FOR_PUBLIC_FIXTURE_ONLY	Not authenticated/admin/payment/Atlas initialized-world/native-game/multibrowser or full accessibility acceptance; reviewer is the author.	r3-visual-review.json;UI-343;INDEPENDENT-REVIEW
W	Simplification/technical debt	Changes remove duplicate authority/evidence while preserving minimum useful verification.	Consolidated same PR/Issue; preserved source/finding identities and failed first captures; no permanent collector or new required gate	QUALIFIED	No quantified savings or justification for broad redesign; audit evidence is not new provider authority.	COST-CI;COST-AGENTS;META-AUD-05
