repository	path	blob_sha	depth	scope	line_ranges	execution_evidence
meta	docs/agents/evals/r5-instruction-efficiency/README.md	0dd93bcbecd1a9595fba40c7bb1d992149e0904b	SCOPED_SEMANTIC_REVIEW	On-demand R5 instruction-efficiency eval-pack lifecycle, isolated A/B execution order, aliases, repetition, and collection instructions. Source specification only; it is not provider authority and grants no repository, production, merge, Remote Desktop, or paid-service authority.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/REVIEWER.md	766a94df34cda5dae852069e3eca584e7d02ded1	SCOPED_SEMANTIC_REVIEW	Independent/blind R5Q reviewer inputs, correctness/read-relevance rubric, derived metrics, verdicts, confounds, and output format. Source specification only; it is not proof that any review was independent, correct, or executed.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/TRIAL_PROTOCOL.md	1a02b16b60dad93b0b671c049f76797e1c781df8	SCOPED_SEMANTIC_REVIEW	Read-only isolated single-arm trial controls and externally observable telemetry schema, including requested-only runtime identity and NOT_MEASURED cost/time rules. Source specification only; it is not proof that isolation, model/runtime attestation, or telemetry collection occurred.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/A1A.md	b79ca465001e90b6862949c189898b94417adafa	SCOPED_SEMANTIC_REVIEW	R5Q A1A trial-arm task specification for Oteryn/Oteryn-Atlas, using the historical provider commit/tree named by the arm, with ref-aware immutable reads, asking whether a typo-only change in docs/evidence/ATLAS-COMPREHENSIVE-VERIFICATION-PLATFORM-CLOSEOUT.md is compatible with maintenance authority. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/A1B.md	ff83774f63e2cb91afd49a8c599b6582adc1547f	SCOPED_SEMANTIC_REVIEW	R5Q A1B trial-arm task specification for Oteryn/Oteryn-Atlas, using a provider protected-main identity resolved and frozen on first read, asking whether a typo-only change in docs/evidence/ATLAS-COMPREHENSIVE-VERIFICATION-PLATFORM-CLOSEOUT.md is compatible with maintenance authority. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/A2A.md	7c850c28dda5078f339d6a3327c4cefd179ac3f9	SCOPED_SEMANTIC_REVIEW	R5Q A2A trial-arm task specification for Oteryn/Oteryn-Atlas, using the historical provider commit/tree named by the arm, with ref-aware immutable reads, asking whether the closed historical ATLAS-E2E-VERIFICATION-OPTIMIZATION-IMPLEMENTATION.md prompt is current authority and what minimum lifecycle evidence is needed. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/A2B.md	939a7405a5205e840bce5ff1c1f3a6007e6f8bae	SCOPED_SEMANTIC_REVIEW	R5Q A2B trial-arm task specification for Oteryn/Oteryn-Atlas, using a provider protected-main identity resolved and frozen on first read, asking whether the closed historical ATLAS-E2E-VERIFICATION-OPTIMIZATION-IMPLEMENTATION.md prompt is current authority and what minimum lifecycle evidence is needed. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/A3A.md	d505f584824b0351c1c30a4346c7f93da844ae94	SCOPED_SEMANTIC_REVIEW	R5Q A3A trial-arm task specification for Oteryn/Oteryn-Atlas, using the historical provider commit/tree named by the arm, with ref-aware immutable reads, asking whether maintenance authority permits renaming ATLAS-LEAN-PROMPT-CANARY.md and modifying .agents/profiles/**. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/A3B.md	2cd0537490ae9e197fa083f8d325a0f984dd02a9	SCOPED_SEMANTIC_REVIEW	R5Q A3B trial-arm task specification for Oteryn/Oteryn-Atlas, using a provider protected-main identity resolved and frozen on first read, asking whether maintenance authority permits renaming ATLAS-LEAN-PROMPT-CANARY.md and modifying .agents/profiles/**. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/G1A.md	d9ea039388ce77367ffb4121c87ed411e9ca3a76	SCOPED_SEMANTIC_REVIEW	R5Q G1A trial-arm task specification for Oteryn/Oteryn-Game, using the historical provider commit/tree named by the arm, with ref-aware immutable reads, asking the smallest safe decision for a harmless typo in non-authority README.md. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/G1B.md	838185a82d62ae799d7d9fa343148cf1e2222a74	SCOPED_SEMANTIC_REVIEW	R5Q G1B trial-arm task specification for Oteryn/Oteryn-Game, using a provider protected-main identity resolved and frozen on first read, asking the smallest safe decision for a harmless typo in non-authority README.md. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/G2A.md	3c3ce298d2fcf32cc7a93f8a656623ba2b89e83d	SCOPED_SEMANTIC_REVIEW	R5Q G2A trial-arm task specification for Oteryn/Oteryn-Game, using the historical provider commit/tree named by the arm, with ref-aware immutable reads, asking whether task OTV2-20260907-doc-consumer-snapshot-refresh governed by Issue #375 remains active or becomes historical. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/G2B.md	41163138c1a98b85c488f5288375b43fd807e9ef	SCOPED_SEMANTIC_REVIEW	R5Q G2B trial-arm task specification for Oteryn/Oteryn-Game, using a provider protected-main identity resolved and frozen on first read, asking whether task OTV2-20260907-doc-consumer-snapshot-refresh governed by Issue #375 remains active or becomes historical. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/G3A.md	a2f3ae8105237f1b7662a093d73e875cd0eeb130	SCOPED_SEMANTIC_REVIEW	R5Q G3A trial-arm task specification for Oteryn/Oteryn-Game, using the historical provider commit/tree named by the arm, with ref-aware immutable reads, asking the minimum authoritative sources required before changing a WorldId/ChannelId and session-generation fencing rule. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/G3B.md	a42642e3357e947217717c443d333c7a968db6aa	SCOPED_SEMANTIC_REVIEW	R5Q G3B trial-arm task specification for Oteryn/Oteryn-Game, using a provider protected-main identity resolved and frozen on first read, asking the minimum authoritative sources required before changing a WorldId/ChannelId and session-generation fencing rule. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/G4A.md	8590bfcfab4adf0b3969758715abea431b197821	SCOPED_SEMANTIC_REVIEW	R5Q G4A trial-arm task specification for Oteryn/Oteryn-Game, using the historical provider commit/tree named by the arm, with ref-aware immutable reads, asking whether a task document alone grants production, Remote Desktop, and paid external-review permissions. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/G4B.md	d9329424c2437e573394b48d5b54b6ae47ffd4c8	SCOPED_SEMANTIC_REVIEW	R5Q G4B trial-arm task specification for Oteryn/Oteryn-Game, using a provider protected-main identity resolved and frozen on first read, asking whether a task document alone grants production, Remote Desktop, and paid external-review permissions. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/P1A.md	921dfc5f8120a74e3daac7b9e19a503cabc811b7	SCOPED_SEMANTIC_REVIEW	R5Q P1A trial-arm task specification for Oteryn/Oteryn-Platform, using the historical provider commit/tree named by the arm, with ref-aware immutable reads, asking the smallest safe decision for a harmless typo in non-authority README.md. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
meta	docs/agents/evals/r5-instruction-efficiency/arms/P1B.md	43729e1943a66ebdc19b1237cc3d2bf6dc49674e	SCOPED_SEMANTIC_REVIEW	R5Q P1B trial-arm task specification for Oteryn/Oteryn-Platform, using a provider protected-main identity resolved and frozen on first read, asking the smallest safe decision for a harmless typo in non-authority README.md. It specifies read-only constraints and the telemetry boundary; it is not proof of the arm answer, model identity, isolation, effectiveness, safety outcome, permissions, current runtime/admin state, or superiority of A/B.	[]	Exact source file received bounded full-file semantic review at immutable META source cut 1a01c5b3e08666a82245b1cac78da3736c65e785 and was separately adopted after clean candidate review of 334d6b9f0a856b9ad11ddd22b39f358249a61d44. This is source-semantic evidence only; runtime model/effort, fresh isolation, answer correctness or safety, A/B superiority, provider permission, cost, and product readiness are not attested.
