repository	path	blob_sha	depth	line_ranges	scope	source_reference	historical_batch	historical_ledger_binding	execution_evidence	limitations
platform	app/Announcements/Actions/SaveAnnouncement.php	63b4c7c6e9da38dbf6b99c51e01fecd922be3866	SCOPED_SEMANTIC_REVIEW	[[1,134]]	Full-file bounded review of announcement persistence, optimistic-lock conflict handling, action-link normalization and minimal admin-audit metadata.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/Actions/SaveAnnouncement.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/Factories/SiteAnnouncementFactory.php	bf741e10cd5fca97ae293d170647a5493bb680b4	SCOPED_SEMANTIC_REVIEW	[[1,33]]	Full-file bounded review of deterministic model factory defaults used by focused qualification.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/Factories/SiteAnnouncementFactory.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/Http/AdminAnnouncementController.php	96b91658faed32cc3207964c0048f9b57e21e3a4	SCOPED_SEMANTIC_REVIEW	[[1,105]]	Full-file bounded review of admin CRUD handoff, authenticated identity checks, UTC parsing and stale-edit HTTP 409 mapping.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/Http/AdminAnnouncementController.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/Http/AnnouncementRequest.php	8aa14b70116cb6b0afeb715f3772d88d95043e7c	SCOPED_SEMANTIC_REVIEW	[[1,51]]	Full-file bounded review of input length/state/time/link/lock-version validation; authorization itself is delegated to route middleware.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/Http/AnnouncementRequest.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/Links/AnnouncementActionLink.php	65c3c6608b54d546e41d18aa189cf2c5f0f86d79	SCOPED_SEMANTIC_REVIEW	[[1,49]]	Full-file bounded review of internal-path and external-HTTPS action-link normalization boundaries.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/Links/AnnouncementActionLink.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/Models/SiteAnnouncement.php	1895056dc72cd0b3ebcc00d651cf74c743c4ef63	SCOPED_SEMANTIC_REVIEW	[[1,100]]	Full-file bounded review of announcement states, mass-assignable persistence fields, factory binding and typed casts.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/Models/SiteAnnouncement.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/Queries/ActiveAnnouncementQuery.php	ef6551224bc1c8b4c086d4de78d2c36f9b51df5b	SCOPED_SEMANTIC_REVIEW	[[1,67]]	Full-file bounded review of active-time/publication filtering, bounded limit, deterministic ordering and Polish editorial-translation freshness join.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/Queries/ActiveAnnouncementQuery.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/Queries/AnnouncementTickerProvider.php	b23de62f34ca34ca8de20832daddeb9421225c15	SCOPED_SEMANTIC_REVIEW	[[1,40]]	Full-file bounded review of AVAILABLE/EMPTY/UNAVAILABLE state mapping and ticker rendering handoff.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/Queries/AnnouncementTickerProvider.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/ViewModels/AnnouncementTicker.php	988de28911053d537fa6f227c625834dfcaebd94	SCOPED_SEMANTIC_REVIEW	[[1,21]]	Full-file bounded review of immutable ticker state/items transport.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/ViewModels/AnnouncementTicker.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
platform	app/Announcements/ViewModels/AnnouncementTickerState.php	efdc1ec91195071d98a4dfc7b625440afa14a5f2	SCOPED_SEMANTIC_REVIEW	[[1,10]]	Full-file bounded review of the exact three ticker availability states.	frozen Oteryn/Oteryn-Platform@de917b3477a1de0667531380de3660e8b2ab59aa:app/Announcements/ViewModels/AnnouncementTickerState.php	none	none	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips.	Bounded frozen-source semantic review plus representative module execution only; the Polish editorial_translations join branch is not directly executed and no dedicated simultaneous-writer race is proven. No later Platform state, whole-product readiness, organization-wide audit completion, or independent score is inferred.
