repository	path	blob_sha	depth	scope	line_ranges	execution_evidence
platform	app/Audit/AdminAuditRecorder.php	78a757d143036aa4c9c13e40c96a9f1fb66cb6a4	SCOPED_SEMANTIC_REVIEW	Full-file direct bounded review of the recorder implementation: admin audit insertion shape, nullable actor/target handling, JSON metadata encoding, and occurred_at assignment. This does not classify or approve every caller of the recorder.	[]	Pre-adoption exact-head qualification 14b18e00936cbf09884e51bfc4c8eaf121edd715, run 34348443102, job 102455526087, artifact 10102677683: frozen Platform de917b3477a1de0667531380de3660e8b2ab59aa on MariaDB 11.8.9; exact 3 test files / 25 cases / 89 assertions / 0 failures / 0 errors / 0 skips; bounded full-file recorder source review; not product readiness.
platform	app/Audit/SecurityEventRecorder.php	cdf63637dc6902f575abceeaa106525173f08e5f	SCOPED_SEMANTIC_REVIEW	Full-file direct bounded review of the recorder implementation: the 31 declared security-event constants, public event helpers, and identity_security_events persistence shape. This does not establish exhaustive correctness of every caller or every security workflow.	[]	Pre-adoption exact-head qualification 14b18e00936cbf09884e51bfc4c8eaf121edd715, run 34348443102, job 102455526087, artifact 10102677683: frozen Platform de917b3477a1de0667531380de3660e8b2ab59aa on MariaDB 11.8.9; exact 3 test files / 25 cases / 89 assertions / 0 failures / 0 errors / 0 skips; bounded full-file recorder source review; not product readiness.
platform	app/Announcements/Actions/SaveAnnouncement.php	63b4c7c6e9da38dbf6b99c51e01fecd922be3866	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of announcement persistence, optimistic-lock conflict handling, action-link normalization and minimal admin-audit metadata.	[[1,134]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
platform	app/Announcements/Factories/SiteAnnouncementFactory.php	bf741e10cd5fca97ae293d170647a5493bb680b4	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of deterministic model factory defaults used by focused qualification.	[[1,33]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
platform	app/Announcements/Http/AdminAnnouncementController.php	96b91658faed32cc3207964c0048f9b57e21e3a4	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of admin CRUD handoff, authenticated identity checks, UTC parsing and stale-edit HTTP 409 mapping.	[[1,105]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
platform	app/Announcements/Http/AnnouncementRequest.php	8aa14b70116cb6b0afeb715f3772d88d95043e7c	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of input length/state/time/link/lock-version validation; authorization itself is delegated to route middleware.	[[1,51]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
platform	app/Announcements/Links/AnnouncementActionLink.php	65c3c6608b54d546e41d18aa189cf2c5f0f86d79	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of internal-path and external-HTTPS action-link normalization boundaries.	[[1,49]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
platform	app/Announcements/Models/SiteAnnouncement.php	1895056dc72cd0b3ebcc00d651cf74c743c4ef63	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of announcement states, mass-assignable persistence fields, factory binding and typed casts.	[[1,100]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
platform	app/Announcements/Queries/ActiveAnnouncementQuery.php	ef6551224bc1c8b4c086d4de78d2c36f9b51df5b	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of active-time/publication filtering, bounded limit, deterministic ordering and Polish editorial-translation freshness join.	[[1,67]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only. The Polish editorial_translations join branch remains a stated execution limitation.
platform	app/Announcements/Queries/AnnouncementTickerProvider.php	b23de62f34ca34ca8de20832daddeb9421225c15	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of AVAILABLE/EMPTY/UNAVAILABLE state mapping and ticker rendering handoff.	[[1,40]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
platform	app/Announcements/ViewModels/AnnouncementTicker.php	988de28911053d537fa6f227c625834dfcaebd94	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of immutable ticker state/items transport.	[[1,21]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
platform	app/Announcements/ViewModels/AnnouncementTickerState.php	efdc1ec91195071d98a4dfc7b625440afa14a5f2	SCOPED_SEMANTIC_REVIEW	Full-file bounded review of the exact three ticker availability states.	[[1,10]]	Primary qualification: GitHub Actions run 34380399141, job 102563546379, artifact 10115614293 (SHA-256 eb577820be531bfbb5451cf8d964ffeb6a78eeb47d06c36c872ab2e04637141f), MariaDB 11.8.9; AnnouncementsModuleTest 4 cases / 20 assertions / 0 failures / 0 errors / 0 skips. Projection run 34381252145 proved this path is one of exactly ten UNVERIFIED-to-DIRECT changes; bounded evidence only.
