repository	path	blob_sha	depth	scope	line_ranges	execution_evidence
meta	docs/agents/policy/PROMPTING_STANDARD.md	1f47189ad7859534740ee844c787fa3b248304fe	SCOPED_SEMANTIC_REVIEW	Current META authority/routing/prompt/evaluation semantics; no provider/runtime/readiness inference.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	docs/agents/policy/PROMPT_EVAL_STANDARD.md	af3e22cd36b3522b603be0c72d645b1b713b86dc	SCOPED_SEMANTIC_REVIEW	Current META authority/routing/prompt/evaluation semantics; no provider/runtime/readiness inference.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	ecosystem/organization-agent-policy.json	1bdae7e48a9d3d93bd8f8850b7610840cfeafa10	SCOPED_SEMANTIC_REVIEW	Current META authority/routing/prompt/evaluation semantics; no provider/runtime/readiness inference.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	tools/governance/central_agent_policy.py	def581adb5dd26040ce2943491894908fcd1870d	SCOPED_SEMANTIC_REVIEW	Current META authority/routing/prompt/evaluation semantics; no provider/runtime/readiness inference.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	.github/workflows/governed-merge-queue-executor.yml	00247bc74b1a123ad96f8b9d219eb018581c6f1d	SCOPED_SEMANTIC_REVIEW	Native exact-head merge-async, app-free auth, exact target pre/post validation, UUID reconciliation, real merge_group and protected-main terminal proof.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	docs/agents/contracts/INTEGRATION_CAPABILITY_ROUTING_POLICY.md	fcb3272d505ad92705e3cce1a5e4c302d97b4b7f	SCOPED_SEMANTIC_REVIEW	Trusted-observer DIRECT/DELEGATED/BLOCKED scheduling gate; capability never grants merge authority and delegated canary is exact-current-main bound.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	docs/agents/operations/MERGE_QUEUE_EXECUTOR.md	d239c00581c0c45085c35200bb43f306b457bdac	SCOPED_SEMANTIC_REVIEW	Native exact-head merge-async, app-free auth, exact target pre/post validation, UUID reconciliation, real merge_group and protected-main terminal proof.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	docs/agents/programs/OTERYN_MQ_CAPABILITY_ROUTING_20260910.md	03b0a28835271c7b76651214105aa29a00ee1b67	SCOPED_SEMANTIC_REVIEW	Historical #194/#195 implementation provenance, not current lifecycle or operational-capability authority.	[]	HISTORICAL_SOURCE_PROVENANCE_REVIEWED; not standing authority or live operational proof
meta	tools/governance/governed_merge_queue_executor.py	e05e616498400a289d7d66cca484817586872291	SCOPED_SEMANTIC_REVIEW	Issue #196 transport, live comment/PR/workflow/actor/membership/permission qualification and one exact merge-async mutation route; source existence is not operational proof.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	tools/governance/integration_capability_routing.py	54ceb3a0ccc7a211f41145cf7350fe96f54d9078	SCOPED_SEMANTIC_REVIEW	Trusted-observer DIRECT/DELEGATED/BLOCKED scheduling gate; capability never grants merge authority and delegated canary is exact-current-main bound.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	tools/governance/merge_queue_submission_routing.py	4ff446f076e235eef60bb9a56e95a879406f1c2c	SCOPED_SEMANTIC_REVIEW	Native exact-head merge-async, app-free auth, exact target pre/post validation, UUID reconciliation, real merge_group and protected-main terminal proof.	[]	BOUNDED_FULL_FILE_SOURCE_REVIEW_ADOPTED_AFTER_CLEAN_EXACT_HEAD_REVIEW; source semantics only; no live provider, admin, runtime, operational-capability, readiness, or completion inference
meta	tools/governance/test_governed_merge_queue_executor.py	e35511f916d5a93e52daff7be5021d7d2d85edcf	SCOPED_SEMANTIC_REVIEW	Deterministic regression contracts executed by exact-head META CI; scope is limited to exercised assertions.	[]	EXACT_HEAD_DETERMINISTIC_ASSERTIONS_REVIEWED; attests exercised assertions only; no universal runtime, provider, operational-capability, readiness, or completion inference
meta	tools/governance/test_integration_capability_routing.py	26d8945fdb1a6c7f59f5d4da0c0a69db2a4bc2e0	SCOPED_SEMANTIC_REVIEW	Deterministic regression contracts executed by exact-head META CI; scope is limited to exercised assertions.	[]	EXACT_HEAD_DETERMINISTIC_ASSERTIONS_REVIEWED; attests exercised assertions only; no universal runtime, provider, operational-capability, readiness, or completion inference
