repository	path	blob_sha	depth	scope	line_ranges	execution_evidence
meta	docs/agents/prompts/OTERYN-CHAT-FIRST-AUTONOMY-CONTINUATION.md	7cead05ddbaf1b6341300cd3bbfdbe71fd4ff07b	SCOPED_SEMANTIC_REVIEW	Template for Issue #108 continuation: preserve one owner-visible bounded lifecycle, resolve live task/provider authority, and follow current continuation contracts; the file alone grants no repository, provider, merge, production, or Remote Desktop authority.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-FND04-INDEPENDENT-SECURITY-AUDITOR.md	f1dd7dfb4b29e842d73a70431013f7c25196deb8	SCOPED_SEMANTIC_REVIEW	Retired read-only Game FND-04 Issue #115 security-auditor packet defining historical exact-head adversarial review, evidence, and no-mutation duties; closed-task coordinates and procedures are provenance only, not present security status or authority.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-FND04-VERIFIER-WRITER.md	69e78cf7e31417c14fdd91f05960a28c30b54ad6	SCOPED_SEMANTIC_REVIEW	Retired Game FND-04 Issue #115 verifier-writer packet describing the historical branch, allocation, implementation and verification boundaries; it grants no current Game write, merge, production, or closeout authority.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-INSTRUCTION-DEBT-AUDIT.md	40e5081233e47c041cc46ed25116e1501cef71d8	SCOPED_SEMANTIC_REVIEW	Read-only alias for explaining or refreshing bounded instruction-debt audit evidence with fact/inference/unknown distinctions; linked audit and research are evidence rather than policy, and the alias authorizes no tests, writes, external messages, deployment, or cleanup.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-NEXT-WAVE-BLOCKERS-FINAL-COORDINATOR.md	170d813b3139c03a442f11cdfd13d0cb53192e3a	SCOPED_SEMANTIC_REVIEW	Retired coordinator/integrator snapshot for the closed Game next-wave FND-04 programme, including historical branches, issues, tests and terminal duties; fixed lanes and past mutation/merge instructions are non-dispatchable provenance and grant no current provider authority.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-NEXT-WAVE-CLOSEOUT-AUDITOR.md	3f078ba77b8445a1e0d469f0e9104e9a572dd4de	SCOPED_SEMANTIC_REVIEW	Retired read-only closeout-auditor snapshot for the closed Game next-wave programme, preserving historical governance and verification duties; it forbids mutation absent new exact authority and is not current lifecycle or provider-state proof.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-V310-ATLAS-DOC-IA-CLOSEOUT.md	0b5e27a11910788852ea00823222adc5d554ca11	SCOPED_SEMANTIC_REVIEW	Atlas v3.10 documentation/agent-IA closeout task template with a bounded gap list, scope ceiling, evidence and integration requirements; execution depends on current target governance and explicit authorization and does not prove present Atlas state or grant provider/merge authority.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-V310-GAME-DOC-IA-AND-GAME-GATE-CLOSEOUT.md	f18f040fa5c38d65acd0d994e14188056e79cbdf	SCOPED_SEMANTIC_REVIEW	Game v3.10 documentation/agent-IA and conditional game-gate closeout template defining a narrow gap scope and live-state checks; it is not standing Game write/merge authority and does not prove the gate, provider state, or readiness.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-V310-ORGANIZATION-RECOVERY-AUTHORIZED-CONTINUATION.md	77bd29cca03a44d3a9a1e4647b75c69af0934015	SCOPED_SEMANTIC_REVIEW	Organization v3.10 recovery continuation template for bounded GAP-RECOVERY work, with historical issue/PR coordinates and explicit authorization/evidence gates; the source alone grants no production, secret, provider, merge, or recovery authority and proves no current outcome.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-V310-ORGANIZATION-RECOVERY-CLOSEOUT.md	a5ac994df4e03d603eb702bf632df73e3c91c26d	SCOPED_SEMANTIC_REVIEW	Organization v3.10 recovery closeout template limiting work to GAP-RECOVERY-001..006 with fail-closed owner decisions and historical boundaries; it is not standing authorization or proof of backups, restores, secrets, production, or completion.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
meta	docs/agents/prompts/OTERYN-V310-PLATFORM-DOC-IA-CLOSEOUT.md	5b0bc3c8ff17bd5c81339409e09ae5bf4de6cb32	SCOPED_SEMANTIC_REVIEW	Platform v3.10 documentation/agent-IA closeout template defining a bounded provider gap scope and exclusions; it requires current authorization and governance, grants no Platform write/merge authority, and is not proof of present provider state or remediation.	[]	Immutable source file received full-file semantic review and was separately adopted only after clean exact-head candidate review. Prompt text is source evidence, not standing authority; retired/history packets remain non-dispatchable; templates require fresh live authorization. No provider/runtime/admin/security/production/recovery/readiness/completion result is attested.
